DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2023-05-31,EQ,3678.35,3727,3656.25,3678.35,3678.3,3671.95,3683.86,3889.65,2585.05,1188672,4378901839.95,68961,EICHERMOT
2023-05-30,EQ,3711.45,3722.8,3670.4,3711.45,3676,3678.35,3702.12,3889.65,2585.05,598100,2214236785.2,31086,EICHERMOT
2023-05-29,EQ,3700,3718.2,3670,3690.35,3711,3711.45,3698.16,3889.65,2585.05,516724,1910930183.2,42455,EICHERMOT
2023-05-26,EQ,3649,3697.5,3610,3651.5,3685.1,3690.35,3660.73,3889.65,2585.05,394991,1445953473.6,32068,EICHERMOT
2023-05-25,EQ,3610.9,3682.25,3606.9,3610.9,3669,3651.5,3647.52,3889.65,2585.05,725887,2647690583.5,50510,EICHERMOT
2023-05-24,EQ,3600,3624,3578.9,3601.6,3609.85,3610.9,3609.8,3889.65,2585.05,374043,1350219650.35,47907,EICHERMOT
2023-05-23,EQ,3545.45,3607.7,3530.05,3545.45,3600,3601.6,3578.87,3889.65,2585.05,374270,1339465312.55,34915,EICHERMOT
2023-05-22,EQ,3569.95,3576.8,3527,3570.9,3546,3545.45,3544.71,3889.65,2585.05,303121,1074475067.1,29823,EICHERMOT
2023-05-19,EQ,3566.15,3579,3511.5,3576.15,3563,3570.9,3556.08,3889.65,2494.65,762689,2712183214.05,68289,EICHERMOT
2023-05-18,EQ,3636,3649.95,3570.45,3628.75,3573.8,3576.15,3604.97,3889.65,2494.65,1235091,4452471351.05,45920,EICHERMOT
2023-05-17,EQ,3624,3636.3,3584.2,3633.2,3634,3628.75,3612.83,3889.65,2494.65,755786,2730529718.95,42630,EICHERMOT
2023-05-16,EQ,3669,3685,3610,3658.5,3611,3633.2,3657.51,3889.65,2494.65,1035562,3787578619.85,50579,EICHERMOT
2023-05-15,EQ,3630,3705,3630,3626.35,3653.85,3658.5,3677.24,3889.65,2494.65,1269701,4669000138.45,76942,EICHERMOT
2023-05-12,EQ,3520,3647.5,3514.95,3405.3,3604.7,3626.35,3612.2,3889.65,2310,3665298,13239792444.7,240637,EICHERMOT
2023-05-11,EQ,3424.85,3424.85,3387.05,3416.75,3404,3405.3,3403.04,3889.65,2310,408412,1389844378.15,37013,EICHERMOT
2023-05-10,EQ,3396.6,3422.8,3354.8,3381.9,3415,3416.75,3388.93,3889.65,2310,386746,1310656333.75,41888,EICHERMOT
2023-05-09,EQ,3410,3410,3371.35,3392.9,3391.8,3381.9,3383.76,3889.65,2310,347387,1175475954.3,36263,EICHERMOT
2023-05-08,EQ,3371,3407.4,3360.1,3355.1,3390,3392.9,3387.9,3889.65,2310,322909,1093982709.1,31890,EICHERMOT
2023-05-05,EQ,3339.3,3392.05,3324.75,3339.3,3347.35,3355.1,3358.32,3889.65,2310,518154,1740127732.2,32100,EICHERMOT
2023-05-04,EQ,3341,3382.45,3321,3348.35,3336,3339.3,3342.14,3889.65,2310,325535,1087983561.8,26878,EICHERMOT
2023-05-03,EQ,3367.9,3367.9,3321.2,3356.15,3354.6,3348.35,3343.44,3889.65,2310,577763,1931718365.7,39801,EICHERMOT
2023-05-02,EQ,3326.95,3383.8,3325,3301.1,3343,3356.15,3352.72,3889.65,2310,838718,2811983596.5,53657,EICHERMOT
2023-04-28,EQ,3275,3305,3265.35,3263.55,3298,3301.1,3292.26,3889.65,2310,416242,1370374991.15,29044,EICHERMOT
2023-04-27,EQ,3248.3,3270.4,3236.25,3248.35,3270,3263.55,3258.16,3889.65,2310,464406,1513109392.9,26823,EICHERMOT
2023-04-26,EQ,3230,3280,3225.55,3217.95,3242,3248.35,3258.85,3889.65,2310,881684,2873272635.4,56591,EICHERMOT
2023-04-25,EQ,3175,3246.5,3156.15,3182.8,3230,3217.95,3210.77,3889.65,2310,574542,1844724714.25,51019,EICHERMOT
2023-04-24,EQ,3204,3217.45,3158.1,3200.7,3185,3182.8,3177.01,3889.65,2310,379317,1205094971.75,34045,EICHERMOT
2023-04-21,EQ,3240,3259.95,3194.1,3246.95,3204.35,3200.7,3218.12,3889.65,2310,443737,1428000497.6,52517,EICHERMOT
2023-04-20,EQ,3308.7,3308.7,3220.05,3289.6,3250,3246.95,3245.58,3889.65,2310,483671,1569792576.75,46596,EICHERMOT
2023-04-19,EQ,3263.95,3300,3258.1,3263.55,3288.5,3289.6,3283.93,3889.65,2310,646164,2121959490.05,45719,EICHERMOT
2023-04-18,EQ,3228.65,3278,3215.85,3229,3263.95,3263.55,3254.03,3889.65,2310,577513,1879243880,54665,EICHERMOT
2023-04-17,EQ,3235,3254,3206,3213.05,3215.7,3229,3227.47,3889.65,2310,539975,1742753516.95,45284,EICHERMOT
2023-04-13,EQ,3140,3231.45,3132,3128.35,3212.5,3213.05,3200.59,3889.65,2310,1337741,4281565434.9,81361,EICHERMOT
2023-04-12,EQ,3035,3145,3035,3054.2,3128.75,3128.35,3102.41,3889.65,2310,746284,2315278193.45,58048,EICHERMOT
2023-04-11,EQ,2970.45,3059,2970.45,2970.45,3056.2,3054.2,3031.14,3889.65,2310,618391,1874432096.25,54428,EICHERMOT
2023-04-10,EQ,2980,2987,2951.15,2961.7,2959,2970.45,2975.2,3889.65,2310,416883,1240309571.1,30805,EICHERMOT
2023-04-06,EQ,2948.7,2970,2926,2933.75,2965,2961.7,2954.74,3889.65,2310,586845,1733975466.55,50305,EICHERMOT
2023-04-05,EQ,2982,3009,2922.2,3004.3,2940,2933.75,2947.3,3889.65,2310,1033837,3047025205.65,70255,EICHERMOT
2023-04-03,EQ,3050,3050,2981.1,2948.85,3000.05,3004.3,3007.14,3889.65,2310,1170652,3520309784.6,76067,EICHERMOT
2023-03-31,EQ,2923.1,2963.35,2921,2933.7,2952,2948.85,2945.9,3889.65,2310,546110,1608788040.8,51684,EICHERMOT
2023-03-29,EQ,2858.5,2947.8,2850,2852.4,2931,2933.7,2912.52,3889.65,2310,765293,2228932426.1,69621,EICHERMOT
2023-03-28,EQ,2894.8,2894.8,2836,2885.55,2851.4,2852.4,2867.18,3889.65,2310,1079359,3094713067.05,58088,EICHERMOT
2023-03-27,EQ,2913.6,2929,2871,2909.6,2883.4,2885.55,2894.05,3889.65,2310,375285,1086094603.9,41149,EICHERMOT
