DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2023-10-10,EQ,999.9,1014.95,996.5,996.25,1011.25,1012.25,1008.29,1047.5,745,5728499,5775972985.9,191384,AXISBANK
2023-10-09,EQ,994.8,999.7,988.25,1000.95,996.45,996.25,994.55,1047.5,745,6823214,6786039020.8,143985,AXISBANK
2023-10-06,EQ,1005,1008,999.4,1003.25,1004,1000.95,1003.17,1047.5,721.05,5289753,5306521872.55,157387,AXISBANK
2023-10-05,EQ,1000,1009.2,988.9,995.55,1003.75,1003.25,1000.63,1047.5,721.05,7950412,7955454133.35,179665,AXISBANK
2023-10-04,EQ,1035.35,1037,988.85,1041.05,991.9,995.55,1011.38,1047.5,721.05,22584212,22841323284.1,361995,AXISBANK
2023-10-03,EQ,1035,1044.7,1032.6,1036.7,1038.5,1041.05,1039.65,1047.5,721.05,11589322,12048786340.35,215276,AXISBANK
2023-09-29,EQ,1030.9,1041,1024.5,1030.9,1036.85,1036.7,1034.57,1047.5,707.7,9528626,9858042195.5,190409,AXISBANK
2023-09-28,EQ,1027,1037.95,1025.2,1025.2,1028.75,1030.9,1030.83,1047.5,707.7,15818489,16306235118.2,227026,AXISBANK
2023-09-27,EQ,1009.95,1027.95,1004,1014.15,1024.5,1025.2,1016.2,1047.5,707.7,5158686,5242258067.55,143890,AXISBANK
2023-09-26,EQ,1019,1020.7,1011,1018.95,1014.7,1014.15,1014.39,1047.5,707.7,6387615,6479529299.6,131422,AXISBANK
2023-09-25,EQ,1015.2,1026,1005.15,1018.25,1019.7,1018.95,1015.78,1047.5,707.7,7123890,7236337809.65,148886,AXISBANK
2023-09-22,EQ,1010,1027.25,1008,1014.45,1019.5,1018.25,1020.91,1047.5,707.7,7108110,7256768050.45,217224,AXISBANK
2023-09-21,EQ,1026.6,1033.6,1012.1,1027.3,1013.5,1014.45,1020.78,1047.5,707.7,8156588,8326084260.8,226052,AXISBANK
2023-09-20,EQ,1012.3,1047.5,1012.3,1024.75,1027,1027.3,1032.71,1047.5,707.7,13619788,14065244955.6,320975,AXISBANK
2023-09-18,EQ,1021.55,1029.9,1019,1027.15,1022.75,1024.75,1025.91,1031.75,707.7,6397319,6563081439.8,201997,AXISBANK
2023-09-15,EQ,1021,1031.75,1014.55,1020.9,1022.9,1027.15,1024.97,1031.75,707.7,8986157,9210514298.3,214008,AXISBANK
2023-09-14,EQ,1014.45,1022.4,1009.05,1014.45,1020,1020.9,1017.77,1022.4,707.7,7855558,7995136644.4,233556,AXISBANK
