DATE,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES
2023-06-16,0.6971474273527059,0.707388636969859,0.7379220779220774,0.690775681341719,0.7099396800419617,0.715670859538784,0.7205944573725409,1.0,1.0,0.1553979286042857,0.19508745611402364,0.2172310964713664
2023-06-15,0.7358037856571582,0.7180581488396909,0.7285714285714286,0.7434486373165612,0.6928927353789667,0.690775681341719,0.7248254707002326,1.0,1.0,0.2467956900305719,0.31027132974921245,0.3176954052037904
2023-06-14,0.7411356971474272,0.7279274473192849,0.7805194805194806,0.7426624737945491,0.7432467873065831,0.7434486373165612,0.7537550243283269,1.0,1.0,0.09108551561876228,0.11655780650600206,0.11131571678482645
2023-06-13,0.7541988802985875,0.7431315017337958,0.7753246753246752,0.7544549266247378,0.7432467873065831,0.7426624737945491,0.751004865665327,1.0,1.0,0.1545639793132474,0.19680105669309825,0.2543889482871687
2023-06-12,0.7571314316182352,0.7436649773272874,0.7932467532467533,0.7547169811320753,0.7547862575399944,0.7544549266247378,0.7665009519779988,1.0,1.0,0.08826750586972736,0.11378947036833181,0.12442384190578913
2023-06-09,0.799786723540389,0.7842091224326491,0.7883116883116883,0.8060796645702304,0.7560975609756095,0.7547169811320753,0.774116775967844,1.0,1.0,0.26300396789565544,0.33732821766639554,0.35766053037548695
2023-06-08,0.8101839509464144,0.8100826887169918,0.8381818181818184,0.8097484276729561,0.8043535274062421,0.8060796645702304,0.8291199492278403,1.0,1.0,0.21278203684871344,0.2795430653119165,0.14626570635620056
2023-06-07,0.799786723540389,0.792211256335023,0.8363636363636364,0.7895702306079664,0.8085496984002098,0.8097484276729561,0.8147345039136873,1.0,1.0,0.1286015374935045,0.16901119524651062,0.20135703669185195
2023-06-06,0.799786723540389,0.7831421712456654,0.8207792207792206,0.799266247379455,0.7938630999213219,0.7895702306079664,0.7974931246033425,1.0,1.0,0.1300944779224973,0.16955090788343816,0.14524351311282274
2023-06-05,0.802452679285524,0.7879434515870898,0.8363636363636364,0.799266247379455,0.799108313663782,0.799266247379455,0.8114025809181298,1.0,1.0,0.15990800912748904,0.20919321936194787,0.15101214042379685
2023-06-02,0.7821914156225009,0.7831421712456654,0.8207792207792206,0.7759433962264151,0.7970102281667981,0.799266247379455,0.8039454199280729,1.0,1.0,0.13224256273199347,0.17283972980954324,0.17709873747860255
2023-06-01,0.7667288723007197,0.7698052814083756,0.8103896103896102,0.7607442348008386,0.7783897193810647,0.7759433962264151,0.7911466046118045,1.0,1.0,0.2448090477398715,0.31628553338417864,0.20202409294442392
2023-05-31,0.7773926952812582,0.76126967191251,0.7922077922077921,0.8286163522012573,0.7676370312090217,0.7607442348008386,0.7755976306325367,1.0,1.0,0.43502283440421347,0.5572190782519838,0.2754397403929807
2023-05-30,0.8371101039722739,0.8183515604161111,0.8649350649350649,0.8401467505241089,0.8303173354314191,0.8286163522012573,0.8416014385445316,1.0,1.0,0.19648916497517638,0.2597226129337574,0.17586233462172274
2023-05-29,0.810450546520928,0.8231528407575355,0.8470129870129868,0.7929769392033541,0.8389719381064782,0.8401467505241089,0.8412312248783582,1.0,1.0,0.2554137089737037,0.3365500308877243,0.4891814750023018
2023-05-26,0.7637963209810716,0.7770072019205125,0.8080519480519479,0.7680817610062891,0.7925517964857067,0.7929769392033541,0.7969642479373809,1.0,1.0,0.10563007088620958,0.13804679784929688,0.10220617111590057
2023-05-25,0.7677952545987736,0.7511336356361697,0.7896103896103894,0.7756813417190775,0.7660634670862843,0.7680817610062891,0.7701502009731329,1.0,1.0,0.22157619223099512,0.2839757746352517,0.16529841841902032
2023-05-24,0.7560650493201813,0.7636703120832222,0.796103896103896,0.7699161425576517,0.7728822449514818,0.7756813417190775,0.7860165009519777,1.0,1.0,0.24128167512355503,0.3111116855499023,0.17975005120361376
2023-05-23,0.751266328978939,0.755401440384103,0.7885714285714283,0.7465932914046118,0.7639653815892995,0.7699161425576517,0.7733234609689017,1.0,1.0,0.21535747561775248,0.2764138735170141,0.1719671019130422
2023-05-22,0.7438016528925622,0.7372632702053883,0.7711688311688314,0.7361111111111107,0.7442958300550746,0.7465932914046118,0.7546012269938651,1.0,1.0,0.30829480641132484,0.3921235217732424,0.26686947682120454
2023-05-19,0.7517995201279657,0.7690050680181386,0.7527272727272725,0.7311320754716983,0.7395751376868609,0.7361111111111107,0.7490480220012694,1.0,1.0,0.6688834906059324,0.847808481034942,0.541523781964678
2023-05-18,0.8120501199680081,0.8098159509202456,0.7605194805194802,0.7945492662473792,0.7432467873065831,0.7311320754716983,0.7856991749524012,1.0,1.0,0.7271507415846593,0.9336244655232849,0.6398065348964372
2023-05-17,0.7891229005598506,0.7916777807415314,0.8025974025974025,0.7945492662473792,0.8001573564122739,0.7945492662473792,0.7953247302729007,1.0,1.0,0.3473814143012704,0.4486595400870277,0.3530832091606554
2023-05-16,0.7784590775793121,0.7911443051480398,0.8155844155844156,0.7714884696016768,0.7936008392341991,0.7945492662473792,0.8017241379310343,1.0,1.0,0.3203233743728638,0.4149075661401981,0.31942599339708266
2023-05-15,0.7504665422553987,0.7570018671645773,0.7774025974025971,0.7518343815513622,0.7731445056386046,0.7714884696016768,0.7769727099640367,1.0,1.0,0.13373855284256925,0.17255278895883028,0.21295066226472176
2023-05-12,0.7288723007198081,0.7396639103761005,0.7612987012987009,0.7272012578616351,0.7524259113558878,0.7518343815513622,0.7529617093293841,1.0,1.0,0.13216332299404637,0.1685820005272351,0.16111381482894238
2023-05-11,0.7155425219941352,0.7356628434249135,0.7636363636363637,0.7206498951781972,0.7293469708890639,0.7272012578616351,0.7412206473450391,1.0,1.0,0.213558284777984,0.2704182168479474,0.22689119842762628
2023-05-10,0.7304718741668887,0.7089890637503338,0.7181818181818183,0.7274633123689727,0.7212168895882507,0.7206498951781972,0.7109689020520413,1.0,1.0,0.25765044248193975,0.3220567981821275,0.3009363214948073
2023-05-09,0.7837909890695816,0.7700720192051218,0.764155844155844,0.7803983228511528,0.7293469708890639,0.7274633123689727,0.7530674846625769,1.0,1.0,0.2645425495819745,0.33641866853653835,0.3469707190490597
2023-05-08,0.744601439616102,0.7762069885302751,0.7914285714285714,0.7431865828092241,0.7865198006818779,0.7803983228511528,0.7806219589591707,1.0,1.0,0.1611272233066786,0.20788635062478997,0.1804603251852256
2023-05-05,0.758197813916289,0.7796745798879705,0.779480519480519,0.7615303983228507,0.7437713086808291,0.7431865828092241,0.7846943092870742,1.0,1.0,0.2507565332973333,0.3230806530585335,0.22509672315662294
2023-05-04,0.7048786990135967,0.7399306481728463,0.7454545454545456,0.7117400419287208,0.759506949908209,0.7615303983228507,0.7535963613285381,1.0,1.0,0.15320657643733182,0.1953168043389192,0.17274877909915465
2023-05-03,0.7072780591842176,0.7089890637503338,0.7480519480519479,0.7368972746331233,0.7094151586677158,0.7117400419287208,0.7289507086947324,1.0,1.0,0.10409571716753961,0.13132428023992596,0.16551826512761447
2023-05-02,0.7571314316182352,0.7401973859695921,0.7696103896103894,0.7526205450733747,0.7330186205087856,0.7368972746331233,0.7564522953247304,1.0,1.0,0.1728518974295742,0.22050831760320436,0.3940310679100846
2023-04-28,0.69208211143695,0.7380634835956261,0.7298701298701298,0.6816037735849054,0.741935483870968,0.7526205450733747,0.7282631690289825,1.0,1.0,0.2164469570355141,0.2725509296547032,0.20466976957434296
2023-04-27,0.6771527592641964,0.6684449186449721,0.7070129870129871,0.6899895178197064,0.680828743771309,0.6816037735849054,0.685424159086101,1.0,1.0,0.24524125346556896,0.3032546162795101,0.2818209320373026
2023-04-26,0.6611570247933884,0.6663110162710058,0.6828571428571428,0.666142557651991,0.6942040388145818,0.6899895178197064,0.6781785487624283,1.0,1.0,0.3370559548819017,0.41587241453554813,0.24897921603039525
2023-04-25,0.6238336443615036,0.6711122966124301,0.6753246753246751,0.6284067085953877,0.6645685811696826,0.666142557651991,0.6764332557647559,1.0,1.0,0.5969461458981878,0.7367845064405472,0.35201967721993505
2023-04-24,0.5641162356704874,0.6052280608162177,0.6155844155844155,0.5683962264150941,0.6249672174141097,0.6284067085953877,0.6136555955151262,1.0,1.0,0.34037818442855805,0.4091363287738232,0.2767982803101906
2023-04-21,0.5705145294588108,0.5564150440117364,0.5958441558441558,0.5770440251572322,0.5646472593758194,0.5683962264150941,0.5707108102390523,1.0,1.0,0.32762162628325103,0.38671286876267164,0.23633145367529207
2023-04-20,0.5502532657957881,0.5513470258735667,0.5799999999999996,0.5534591194968548,0.5753999475478628,0.5770440251572322,0.5665326845779561,1.0,1.0,0.3794169850941441,0.44767848308561364,0.15717348535952458
2023-04-19,0.5651826179685417,0.5622832755401443,0.5883116883116881,0.5825471698113205,0.5494361395226854,0.5534591194968548,0.5758409138988791,1.0,1.0,0.30261690577469863,0.3576919857442754,0.1485581250270111
2023-04-18,0.5723806984804054,0.5676180314750603,0.6000000000000001,0.5728511530398319,0.5801206399160765,0.5825471698113205,0.5864184472181089,1.0,1.0,0.32214672007698786,0.38270870854168404,0.2914791549618651
2023-04-17,0.4798720341242335,0.548946385702854,0.535064935064935,0.5149371069182389,0.5756622082349856,0.5728511530398319,0.5535752062618999,1.0,1.0,0.49877758885346934,0.5867274951099863,0.31343376131411965
2023-04-13,0.48680351906158315,0.4915977594025076,0.5306493506493504,0.4900419287211739,0.5179648570679256,0.5149371069182389,0.5075100486566533,1.0,1.0,0.43155584894878607,0.49759122172105563,0.1973753685250917
2023-04-12,0.5075979738736338,0.4902640704187786,0.5246753246753246,0.5104821802935011,0.49567269866247043,0.4900419287211739,0.5035434736619417,1.0,1.0,0.30497467352075674,0.349420282704867,0.20256525407327097
2023-04-11,0.49506798187150114,0.49933315550813573,0.5306493506493504,0.4800838574423474,0.5132441646997115,0.5104821802935011,0.5216310556378256,1.0,1.0,0.3937267322074429,0.45617879527979033,0.21283604133118122
